"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","10u","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C2,C3","100n","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","2",""
"D1","1N5819","~","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D2","GREEN","~","LED_THT:LED_D5.0mm","1",""
"J1","Power 5V","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J2","Sensor","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J3","Debug","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"R1,R2","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R3","330","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"U1","ATtiny85-20P","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U2","MCP6001","~","Package_DIP:DIP-8_W7.62mm","1",""
