timestamp,channel,value,unit
2026-09-15T14:02:10,vin,5.012,V
2026-09-15T14:02:10,v33,3.298,V
2026-09-15T14:02:10,iload,0.084,A
2026-09-15T14:02:10,temp,27.4,degC
2026-09-15T14:02:20,vin,5.009,V
2026-09-15T14:02:20,v33,3.301,V
2026-09-15T14:02:20,iload,0.091,A
2026-09-15T14:02:20,temp,28.1,degC
2026-09-15T14:02:30,vin,5.011,V
2026-09-15T14:02:30,v33,3.297,V
2026-09-15T14:02:30,iload,0.143,A
2026-09-15T14:02:30,temp,29.6,degC
2026-09-15T14:02:40,vin,4.998,V
2026-09-15T14:02:40,v33,3.294,V
2026-09-15T14:02:40,iload,0.188,A
2026-09-15T14:02:40,temp,31.2,degC
2026-09-15T14:02:50,vin,4.991,V
2026-09-15T14:02:50,v33,3.290,V
2026-09-15T14:02:50,iload,0.212,A
2026-09-15T14:02:50,temp,33.0,degC
2026-09-15T14:03:00,vin,5.003,V
2026-09-15T14:03:00,v33,3.299,V
2026-09-15T14:03:00,iload,0.096,A
2026-09-15T14:03:00,temp,32.4,degC
