Date,Region,Product,Units,Unit Price
2026-07-01,North,Doohickey,41,8.25
2026-07-03,East,Doohickey,36,8.25
2026-07-05,South,Widget,14,19.99
2026-07-07,East,Gadget,58,34.50
2026-07-09,West,Gadget,42,34.50
2026-07-11,West,Doohickey,14,8.25
2026-07-13,West,Gadget,34,34.50
2026-07-15,North,Gizmo,32,12.75
2026-07-17,West,Gadget,31,34.50
2026-07-19,South,Doohickey,13,8.25
2026-07-21,West,Gizmo,36,12.75
2026-07-23,East,Gizmo,43,12.75
2026-07-25,West,Doohickey,63,8.25
2026-07-27,East,Doohickey,35,8.25
2026-07-29,East,Widget,24,19.99
2026-07-31,North,Widget,50,19.99
2026-08-01,North,Gizmo,16,12.75
2026-08-03,North,Gizmo,7,12.75
2026-08-05,North,Doohickey,8,8.25
2026-08-07,East,Widget,8,19.99
2026-08-09,East,Widget,44,19.99
2026-08-11,North,Gadget,54,34.50
2026-08-13,South,Widget,24,19.99
2026-08-15,West,Gizmo,46,12.75
2026-08-17,North,Widget,11,19.99
2026-08-19,South,Gizmo,26,12.75
2026-08-21,North,Widget,7,19.99
2026-08-23,North,Gadget,46,34.50
2026-08-25,North,Gizmo,21,12.75
2026-08-27,North,Widget,12,19.99
2026-08-29,East,Widget,64,19.99
2026-08-31,South,Gizmo,7,12.75
2026-09-01,North,Gizmo,11,12.75
2026-09-03,East,Gizmo,41,12.75
2026-09-05,West,Widget,57,19.99
2026-09-07,South,Doohickey,14,8.25
2026-09-09,North,Gadget,63,34.50
2026-09-11,North,Gadget,31,34.50
2026-09-13,West,Gizmo,55,12.75
2026-09-15,South,Gizmo,32,12.75
2026-09-17,East,Widget,23,19.99
2026-09-19,South,Widget,17,19.99
2026-09-21,South,Gadget,58,34.50
2026-09-23,South,Widget,50,19.99
2026-09-25,North,Widget,7,19.99
2026-09-27,West,Gizmo,41,12.75
2026-09-29,East,Widget,43,19.99
2026-09-30,South,Doohickey,37,8.25
